method,threshold,split,actual_rr,refreshes_per_sample,num_samples
raw_oracle,0.041992416072,all,0.5715356691919192,56.58203125,256
raw_oracle,0.049277525527,calibration,0.5604482323232324,55.484375,64
raw_oracle,0.049277525527,test,0.5600799663299664,55.447916666666664,192
raw_oracle,0.049277525527,all,0.5601720328282829,55.45703125,256
raw_oracle,0.057826501763,calibration,0.553030303030303,54.75,64
raw_oracle,0.057826501763,test,0.5522937710437711,54.677083333333336,192
raw_oracle,0.057826501763,all,0.5524779040404041,54.6953125,256
raw_oracle,0.06785860837,calibration,0.547979797979798,54.25,64
raw_oracle,0.06785860837,test,0.5462436868686869,54.078125,192
raw_oracle,0.06785860837,all,0.5466777146464646,54.12109375,256
raw_oracle,0.079631148167,calibration,0.5435606060606061,53.8125,64
raw_oracle,0.079631148167,test,0.5420875420875421,53.666666666666664,192
raw_oracle,0.079631148167,all,0.5424558080808081,53.703125,256
raw_oracle,0.093446062493,calibration,0.5397727272727273,53.4375,64
raw_oracle,0.093446062493,test,0.5390361952861953,53.364583333333336,192
raw_oracle,0.093446062493,all,0.5392203282828283,53.3828125,256
raw_oracle,0.109657675376,calibration,0.537405303030303,53.203125,64
raw_oracle,0.109657675376,test,0.5367213804713805,53.135416666666664,192
raw_oracle,0.109657675376,all,0.5368923611111112,53.15234375,256
raw_oracle,0.128681781211,calibration,0.5359848484848485,53.0625,64
raw_oracle,0.128681781211,test,0.5357218013468014,53.036458333333336,192
raw_oracle,0.128681781211,all,0.5357875631313131,53.04296875,256
raw_oracle,0.151006309033,calibration,0.5353535353535354,53.0,64
raw_oracle,0.151006309033,test,0.5353535353535354,53.0,192
raw_oracle,0.151006309033,all,0.5353535353535354,53.0,256
raw_oracle,0.177203836885,calibration,0.5353535353535354,53.0,64
raw_oracle,0.177203836885,test,0.5353535353535354,53.0,192
raw_oracle,0.177203836885,all,0.5353535353535354,53.0,256
raw_oracle,0.207946277264,calibration,0.5353535353535354,53.0,64
raw_oracle,0.207946277264,test,0.5353535353535354,53.0,192
raw_oracle,0.207946277264,all,0.5353535353535354,53.0,256
raw_oracle,0.244022110288,calibration,0.5353535353535354,53.0,64
raw_oracle,0.244022110288,test,0.5353535353535354,53.0,192
raw_oracle,0.244022110288,all,0.5353535353535354,53.0,256
raw_oracle,0.286356606587,calibration,0.5353535353535354,53.0,64
raw_oracle,0.286356606587,test,0.5353535353535354,53.0,192
raw_oracle,0.286356606587,all,0.5353535353535354,53.0,256
