distance_index,stage,prev_call_step,prev_call_kind,prev_call_kind_name,prev_timestep,cur_call_step,cur_call_kind,cur_call_kind_name,cur_timestep,raw_mean,raw_std,sea_mean,sea_std,dino_mean,dino_std,lpips_mean,lpips_std,raw_oracle_score_mean,raw_oracle_score_std,sea_oracle_score_mean,sea_oracle_score_std,dino_oracle_score_mean,dino_oracle_score_std,lpips_oracle_score_mean,lpips_oracle_score_std,pma_nogate_oracle_score_mean,pma_nogate_oracle_score_std,pma_stageaware_oracle_score_mean,pma_stageaware_oracle_score_std
0,early,0,0,predictor,0.0,0,1,corrector,0.010101010091602802,0.04203740491357166,0.0008647884470432543,170.7556077837944,0.8044065597595691,0.057040220126509666,0.04363143625932559,0.06721391615428729,0.030345069515148093,2.312148241994512,0.0475652360472586,249.14750728771372,0.0008096571607066321,200.3085002612554,58.32200045308398,197.2798209618228,34.61253634763223,218.935499282009,23.29450534315565,249.14750728771372,0.0008096571607066321
1,early,0,1,corrector,0.010101010091602802,1,0,predictor,0.010101010091602802,0.001084090848280539,0.0005126993158528377,0.0021356146045263813,0.001583849870440046,0.003391954582184553,0.007566598924965733,0.002549263878876218,0.0034432914372586687,0.059627342700332694,0.028199571887421924,0.10337473589563337,0.07647482136602117,16.87674243077926,34.40823746718043,9.942130622999155,13.428838625121568,8.087011810491777,13.090517117568403,0.10337473589563337,0.07647482136602117
2,early,1,0,predictor,0.010101010091602802,1,1,corrector,0.020408162847161293,0.0428535885293968,0.0014509234740144262,0.49762279354035854,0.00313448044638447,0.04352735681459308,0.04440704762460733,0.05072705193742877,0.023163962994641112,2.3570401071406772,0.07980393096596584,19.582019096315598,0.10160205620102503,162.76367628518554,71.72219372073558,171.7637977396169,47.18233291850749,108.19104984596697,30.151665383915503,19.582019096315598,0.10160205620102503
3,early,1,1,corrector,0.020408162847161293,2,0,predictor,0.020408162847161293,0.0009472332891391488,0.00038948680314191395,0.001418620280446703,0.0008688964274112849,0.0023352031130343676,0.004531249926331176,0.001908717476268862,0.005421988529348014,0.052099880778670046,0.0214226170482255,0.0687150066109216,0.04203497985269957,12.019698429590427,23.323135071036116,7.130831842978531,17.01308501136977,5.772645084415057,10.737115812187511,0.0687150066109216,0.04203497985269957
4,early,2,0,predictor,0.020408162847161293,2,1,corrector,0.030927835032343864,0.043371205480070785,0.001798370824065099,0.4557571428595111,0.004196016797693411,0.03236810606904328,0.030726225336666725,0.03916757213664823,0.020613595409974712,2.385510159585352,0.0989142871179926,18.20722937407424,0.13997152658569711,134.2122157587436,75.24986515345957,141.21936906851477,53.03048319847577,89.91236719780721,32.182290317744076,18.20722937407424,0.13997152658569711
5,early,2,1,corrector,0.030927835032343864,3,0,predictor,0.030927835032343864,0.0007522491695226563,0.00028589186047145237,0.0009329860947104862,0.0004223812618578234,0.0011093816719949245,0.0031540114847032324,0.0009518259646270621,0.0016212957973687021,0.04137533224112293,0.015724671014984537,0.04521054191529915,0.020453125657577672,5.710181296978064,16.23424818080897,3.712121820380573,6.323054560779696,2.844775151973711,6.410859301086067,0.04521054191529915,0.020453125657577672
6,early,3,0,predictor,0.030927835032343864,3,1,corrector,0.0416666641831398,0.04348816290439572,0.0019313890691401185,0.38030029088258743,0.00459143387316843,0.024926910642534494,0.02589357785639116,0.029409259632302565,0.01585294731652863,2.3919430710268905,0.10623057845747312,15.626538681933265,0.1615662842094319,107.53709485014951,74.78636763798018,110.86788938016987,50.04368920932066,71.77211074186913,31.65775043284627,15.626538681933265,0.1615662842094319
7,early,3,1,corrector,0.0416666641831398,4,0,predictor,0.0416666641831398,0.0005987744279991603,0.00021035622862160968,0.0006531998149057472,0.00024076691266696704,0.0007296435069292784,0.0020244317478769498,0.0005968751609159995,0.0009829243010191042,0.032933889327753436,0.011570047799097741,0.031658731410665206,0.011664435801633692,3.755602613514343,10.420103915137027,2.327813477695554,3.8334053505516223,1.8376883199272354,4.033403648098896,0.031658731410665206,0.011664435801633692
8,early,4,0,predictor,0.0416666641831398,4,1,corrector,0.052631575614213943,0.04328590739169158,0.001938924613221823,0.31120673671830446,0.004179971714141166,0.01937944535166025,0.023566641981971954,0.022108435691734485,0.011659286873601293,2.3808185801337434,0.10664504968938689,13.136694814113977,0.15482434031997097,86.62596901844606,65.94285078062427,85.52717027306909,42.789664173742416,56.900619713100134,27.16684805438516,13.136694814113977,0.15482434031997097
9,early,4,1,corrector,0.052631575614213943,5,0,predictor,0.052631575614213943,0.000490727081512432,0.00017544943232818374,0.0004909351812329987,0.00016551868364207773,0.0006543858908116817,0.003385652377659842,0.0003619801195355876,0.0005029044454276066,0.026991051449318976,0.0096500984623239,0.023796548492061306,0.008020669811499929,3.2752506735120406,15.996091138229259,1.4117226785240176,1.961327632168201,1.415610625007642,4.952301550892625,0.023796548492061306,0.008020669811499929
