method,target_rr,split,stage,call_kind,call_kind_name,refresh_count,opportunities,density,refresh_share
dino_oracle,0.4,all,middle,1,corrector,3328.0,5120.0,0.65,0.32055480639568484
dino_oracle,0.4,all,late,0,predictor,288.0,3840.0,0.075,0.02774031978424196
dino_oracle,0.4,all,late,1,corrector,1939.0,3584.0,0.541015625,0.18676555576960124
dino_oracle,0.5,calibration,early,0,predictor,304.0,960.0,0.31666666666666665,0.09595959595959595
dino_oracle,0.5,calibration,early,1,corrector,953.0,960.0,0.9927083333333333,0.30082070707070707
dino_oracle,0.5,calibration,middle,0,predictor,6.0,1280.0,0.0046875,0.001893939393939394
dino_oracle,0.5,calibration,middle,1,corrector,1104.0,1280.0,0.8625,0.3484848484848485
dino_oracle,0.5,calibration,late,0,predictor,68.0,960.0,0.07083333333333333,0.021464646464646464
dino_oracle,0.5,calibration,late,1,corrector,733.0,896.0,0.8180803571428571,0.23137626262626262
dino_oracle,0.5,test,early,0,predictor,1056.0,2880.0,0.36666666666666664,0.10725167580743449
dino_oracle,0.5,test,early,1,corrector,2867.0,2880.0,0.9954861111111111,0.29118423725370707
dino_oracle,0.5,test,middle,0,predictor,29.0,3840.0,0.007552083333333333,0.002945358521226894
dino_oracle,0.5,test,middle,1,corrector,3381.0,3840.0,0.88046875,0.3433881779402803
dino_oracle,0.5,test,late,0,predictor,205.0,2880.0,0.07118055555555555,0.020820637822465977
dino_oracle,0.5,test,late,1,corrector,2308.0,2688.0,0.8586309523809523,0.23440991265488523
dino_oracle,0.5,all,early,0,predictor,1360.0,3840.0,0.3541666666666667,0.10450284309205471
dino_oracle,0.5,all,early,1,corrector,3820.0,3840.0,0.9947916666666666,0.29353004456738896
dino_oracle,0.5,all,middle,0,predictor,35.0,5120.0,0.0068359375,0.002689411403104349
dino_oracle,0.5,all,middle,1,corrector,4485.0,5120.0,0.8759765625,0.3446288612263716
dino_oracle,0.5,all,late,0,predictor,273.0,3840.0,0.07109375,0.020977408944213922
dino_oracle,0.5,all,late,1,corrector,3041.0,3584.0,0.8484933035714286,0.23367143076686644
lpips_oracle,0.3,calibration,early,0,predictor,205.0,960.0,0.21354166666666666,0.10783798001052078
lpips_oracle,0.3,calibration,early,1,corrector,907.0,960.0,0.9447916666666667,0.47711730668069435
lpips_oracle,0.3,calibration,middle,0,predictor,3.0,1280.0,0.00234375,0.0015781167806417674
lpips_oracle,0.3,calibration,middle,1,corrector,532.0,1280.0,0.415625,0.27985270910047344
lpips_oracle,0.3,calibration,late,0,predictor,67.0,960.0,0.06979166666666667,0.035244608100999476
lpips_oracle,0.3,calibration,late,1,corrector,187.0,896.0,0.20870535714285715,0.09836927932667017
lpips_oracle,0.3,test,early,0,predictor,618.0,2880.0,0.21458333333333332,0.11320754716981132
lpips_oracle,0.3,test,early,1,corrector,2697.0,2880.0,0.9364583333333333,0.49404652866825427
lpips_oracle,0.3,test,middle,0,predictor,6.0,3840.0,0.0015625,0.001099102399706906
lpips_oracle,0.3,test,middle,1,corrector,1414.0,3840.0,0.36822916666666666,0.25902179886426085
lpips_oracle,0.3,test,late,0,predictor,202.0,2880.0,0.07013888888888889,0.03700311412346584
