sample_index,class_id,seed,window_id,stage,start_call,end_call,window_len,start_step,end_step,start_t,end_t,start_call_kind,end_call_kind,num_predictor,num_corrector,intervention_valid,invalid_reason,pis_lpips,pis_dino,pis_psnr,pis_ssim,suffix_denoiser_calls,skipped_calls,elapsed_sec,reference_image,intervention_image
4,4,4,15,early,1,4,4,0,2,0.010101010091602802,0.020408162847161293,corrector,predictor,2,2,True,,0.3622024953365326,0.19135242700576782,18.309776306152344,0.7029468417167664,95,4,3.664884142111987,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0004_class0004_seed4.png,
0,0,0,15,early,1,4,4,0,2,0.010101010091602802,0.020408162847161293,corrector,predictor,2,2,True,,0.345205157995224,0.266133189201355,22.02155113220215,0.7908260822296143,95,4,3.594341411953792,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0000_class0000_seed0.png,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/intervention_images/idx0000_wid015_s001_L04.png
4,4,4,11,early,1,2,2,0,1,0.010101010091602802,0.010101010091602802,corrector,predictor,1,1,True,,0.3281986117362976,0.22175967693328857,20.17723274230957,0.6461988091468811,97,2,3.755542617989704,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0004_class0004_seed4.png,
4,4,4,16,early,3,6,4,1,3,0.020408162847161293,0.030927835032343864,corrector,predictor,2,2,True,,0.30592381954193115,0.21358096599578857,20.95562744140625,0.6758337020874023,93,4,3.627622224157676,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0004_class0004_seed4.png,
0,0,0,11,early,1,2,2,0,1,0.010101010091602802,0.010101010091602802,corrector,predictor,1,1,True,,0.2538871169090271,0.19559890031814575,25.370506286621094,0.864425539970398,97,2,3.687137563014403,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0000_class0000_seed0.png,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/intervention_images/idx0000_wid011_s001_L02.png
0,0,0,16,early,3,6,4,1,3,0.020408162847161293,0.030927835032343864,corrector,predictor,2,2,True,,0.25370752811431885,0.1757243275642395,24.261159896850586,0.8528989553451538,93,4,3.5330218030139804,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0000_class0000_seed0.png,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/intervention_images/idx0000_wid016_s003_L04.png
0,0,0,0,sanity,1,1,1,0,0,0.010101010091602802,0.010101010091602802,corrector,corrector,0,1,True,,0.21497765183448792,0.14951986074447632,28.50106430053711,0.9172950983047485,98,1,3.6493052430450916,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0000_class0000_seed0.png,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/intervention_images/idx0000_wid000_s001_L01.png
7,7,7,15,early,1,4,4,0,2,0.010101010091602802,0.020408162847161293,corrector,predictor,2,2,True,,0.17475859820842743,0.04950368404388428,18.22878074645996,0.8680810332298279,95,4,3.6591516758780926,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0007_class0007_seed7.png,
0,0,0,12,early,3,4,2,1,2,0.020408162847161293,0.020408162847161293,corrector,predictor,1,1,True,,0.1742153912782669,0.20716619491577148,29.314105987548828,0.9335517883300781,95,2,3.5955355169717222,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0000_class0000_seed0.png,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/intervention_images/idx0000_wid012_s003_L02.png
0,0,0,29,mid,16,31,16,8,15,0.08695651590824127,0.1904761791229248,predictor,corrector,8,8,True,,0.16960516571998596,0.22282391786575317,29.840429306030273,0.9389804601669312,67,16,2.561070156050846,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0000_class0000_seed0.png,
0,0,0,28,mid,16,27,12,8,13,0.08695651590824127,0.1627907007932663,predictor,corrector,6,6,True,,0.15483435988426208,0.21431702375411987,31.280643463134766,0.945666491985321,71,12,2.7113475729711354,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0000_class0000_seed0.png,
6,6,6,15,early,1,4,4,0,2,0.010101010091602802,0.020408162847161293,corrector,predictor,2,2,True,,0.14435982704162598,0.11997121572494507,25.037384033203125,0.9440699815750122,95,4,3.6515866711270064,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0006_class0006_seed6.png,
