sample_index,window_id,start_call,end_call,window_len,available_single_count,single_sum_lpips,window_lpips,ratio_lpips,single_sum_dino,window_dino,ratio_dino
0,0,1,1,1,1,0.21497765183448792,0.21497765183448792,0.9999999534835391,0.14951986074447632,0.14951986074447632,0.9999999331192574
0,1,2,2,1,1,0.05761413276195526,0.05761413276195526,0.9999998264315059,0.15330100059509277,0.15330100059509277,0.999999934768858
0,2,3,3,1,1,0.08986722677946091,0.08986722677946091,0.9999998887247415,0.22467541694641113,0.22467541694641113,0.9999999554913498
0,3,5,5,1,1,0.037629205733537674,0.037629205733537674,0.9999997342490454,0.05199915170669556,0.05199915170669556,0.9999998076892074
0,4,7,7,1,1,0.007749596145004034,0.007749596145004034,0.9999987096118418,0.0168302059173584,0.0168302059173584,0.9999994058305579
0,5,8,8,1,1,0.000787434633821249,0.000787434633821249,0.9999873006944608,0.0014727115631103516,0.0014727115631103516,0.9999932098502186
0,6,16,16,1,1,0.00031792346271686256,0.00031792346271686256,0.9999685468779708,0.0004165172576904297,0.0004165172576904297,0.9999759919673554
0,7,32,32,1,1,4.068293492309749e-06,4.068293492309749e-06,0.9975479940276842,6.318092346191406e-06,6.318092346191406e-06,0.9984197449321329
0,8,64,64,1,1,3.5975514123265384e-08,3.5975514123265384e-08,0.7824929162686707,-1.1920928955078125e-07,-1.1920928955078125e-07,1.091567302022875
0,9,90,90,1,1,1.0790477062982973e-06,1.0790477062982973e-06,0.9908176657990584,4.76837158203125e-07,4.76837158203125e-07,0.9794592507340459
0,10,98,98,1,1,0.0002666628279257566,0.0002666628279257566,0.999962500866407,8.630752563476562e-05,8.630752563476562e-05,0.9998841486717042
0,11,1,2,2,2,0.2725917845964432,0.2538871169090271,0.9313820956529256,0.3028208613395691,0.19559890031814575,0.6459227841624243
0,12,3,4,2,2,0.11003774031996727,0.1742153912782669,1.5832329429826055,0.2612622380256653,0.20716619491577148,0.7929434753061619
0,13,5,6,2,2,0.04186840634793043,0.07140778005123138,1.705528564964724,0.05451565980911255,0.10399717092514038,1.90765648279271
0,14,7,8,2,2,0.008537030778825283,0.04622243344783783,5.414339071975025,0.01830291748046875,0.08277010917663574,4.522233356656229
0,15,1,4,4,4,0.38262952491641045,0.345205157995224,0.9021916148491721,0.5640830993652344,0.266133189201355,0.4717978340121476
