name,kind,target_rr,delta,num_samples,elapsed_sec,cache_queries,cache_hits,cache_refreshes,cache_forced_refreshes,actual_rr,cache_hit_rate,denoiser_time_sec,max_consecutive_hits,psnr_mean,psnr_min,ssim_mean,ssim_min,lpips_mean,lpips_max,per_sample_csv
full_reference,full,1.0,,1,12.958810765994713,99,0,99,99,1.0,0.0,12.33963262126781,0,,,,,,,
raw_online_rr0p3_delta0p1,raw_online,0.3,0.1,1,2.748397102986928,99,73,26,6,0.26262626262626265,0.7373737373737373,1.8347951749456115,4,25.679061889648438,25.679061889648438,0.9025806188583374,0.9025806188583374,,,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e1_online_cache/smoke_e1_calib_1sample/raw_online_rr0p3_delta0p1/per_sample_metrics.csv
