method,target_rr,selected_delta,calibration_rr,test_rr,all_rr,calibration_refreshes_per_sample,test_refreshes_per_sample,all_refreshes_per_sample,calibration_samples,test_samples,all_samples,candidate,candidate_label,stage_weights,target_abs_error,target_rr_reachable,min_positive_score,max_sample_score_sum,schedule_path
pma_stageaware_oracle,0.3,6.77740271729618,0.30003156565656564,0.3033459595959596,0.3025173611111111,29.703125,30.03125,29.94921875,64,192,256,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35",3.156565656564636e-05,True,0.0013260503415149897,573.8537960177754,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_pma_weight_candidates/e4_pma_weight_candidates_from_e2_fp32_calib64/candidate_c/matched_schedules/pma_stageaware_oracle_rr0p30.npz
pma_stageaware_oracle,0.4,3.456015678272398,0.3999368686868687,0.4029882154882155,0.4022253787878788,39.59375,39.895833333333336,39.8203125,64,192,256,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35",6.313131313134823e-05,True,0.0013260503415149897,573.8537960177754,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_pma_weight_candidates/e4_pma_weight_candidates_from_e2_fp32_calib64/candidate_c/matched_schedules/pma_stageaware_oracle_rr0p40.npz
pma_stageaware_oracle,0.5,1.8432083617452788,0.5,0.5050505050505051,0.5037878787878788,49.5,50.0,49.875,64,192,256,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35",0.0,True,0.0013260503415149897,573.8537960177754,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_pma_weight_candidates/e4_pma_weight_candidates_from_e2_fp32_calib64/candidate_c/matched_schedules/pma_stageaware_oracle_rr0p50.npz
