index,class_id,seed,psnr_db,ssim,lpips
0,0,0,24.9583797454834,0.8635119199752808,0.26329517364501953
1,1,1,30.836490631103516,0.9787871241569519,0.0346759557723999
2,2,2,30.277891159057617,0.9797248840332031,0.04415974020957947
3,3,3,32.96036911010742,0.9905773997306824,0.038175687193870544
4,4,4,21.315229415893555,0.7514200210571289,0.3018072247505188
5,5,5,30.91077423095703,0.9637084007263184,0.036424700170755386
6,6,6,29.6367244720459,0.9598394632339478,0.09521934390068054
7,7,7,23.586429595947266,0.9469470381736755,0.07341138273477554
8,8,8,33.28840255737305,0.9863638281822205,0.015960367396473885
9,9,9,28.757572174072266,0.9905819892883301,0.019845129922032356
10,10,10,28.319360733032227,0.9822897911071777,0.018639402464032173
11,11,11,22.308958053588867,0.7000288963317871,0.5540981888771057
12,12,12,33.06401062011719,0.9708401560783386,0.09498311579227448
13,13,13,21.831758499145508,0.7306682467460632,0.4256029725074768
14,14,14,27.50541877746582,0.9880495071411133,0.015874063596129417
15,15,15,24.38197898864746,0.7722492218017578,0.31377482414245605
16,16,16,24.119911193847656,0.8778508901596069,0.2329007089138031
17,17,17,35.575782775878906,0.982559859752655,0.04474301636219025
18,18,18,25.882850646972656,0.9627045392990112,0.03131034970283508
19,19,19,22.78314208984375,0.8376020193099976,0.22422325611114502
20,20,20,29.48055076599121,0.9554204940795898,0.12631380558013916
21,21,21,26.699560165405273,0.9890258312225342,0.020980676636099815
22,22,22,30.4741268157959,0.9247002601623535,0.07447688281536102
23,23,23,38.228431701660156,0.9898585081100464,0.01719501242041588
24,24,24,19.14980697631836,0.8058104515075684,0.36313769221305847
25,25,25,26.312145233154297,0.9057048559188843,0.1524851769208908
26,26,26,22.204532623291016,0.8663787841796875,0.25540465116500854
27,27,27,20.7407283782959,0.7522708773612976,0.4581490755081177
28,28,28,23.46026611328125,0.8171255588531494,0.2515489459037781
29,29,29,28.404409408569336,0.9606833457946777,0.049700625240802765
30,30,30,31.88227653503418,0.9847061038017273,0.020200088620185852
31,31,31,26.978538513183594,0.9329699277877808,0.0486234575510025
32,32,32,32.404449462890625,0.9811916351318359,0.030365698039531708
33,33,33,22.730113983154297,0.7810160517692566,0.37773650884628296
34,34,34,30.935474395751953,0.9819368124008179,0.029080543667078018
35,35,35,26.123577117919922,0.9258040189743042,0.17811866104602814
36,36,36,23.589859008789062,0.9473663568496704,0.11032527685165405
37,37,37,27.755910873413086,0.9390357732772827,0.11792470514774323
38,38,38,28.621814727783203,0.9825114011764526,0.03576606139540672
39,39,39,25.969724655151367,0.9137347936630249,0.1731502115726471
40,40,40,23.843914031982422,0.8481403589248657,0.34228092432022095
41,41,41,28.60611343383789,0.947084367275238,0.04755953326821327
42,42,42,27.733726501464844,0.9392290115356445,0.0292797964066267
43,43,43,32.383785247802734,0.9811651110649109,0.031086061149835587
44,44,44,27.423465728759766,0.9305216073989868,0.09506478160619736
45,45,45,24.565982818603516,0.8589909076690674,0.22983932495117188
46,46,46,27.808530807495117,0.984682559967041,0.043159812688827515
47,47,47,28.1711483001709,0.962211012840271,0.06254401057958603
48,48,48,33.32120132446289,0.9869224429130554,0.027822528034448624
49,49,49,30.61577796936035,0.978295087814331,0.02187351882457733
50,50,50,29.721885681152344,0.9712324142456055,0.04766455292701721
51,51,51,20.92482566833496,0.7701992392539978,0.41565248370170593
52,52,52,22.373876571655273,0.6335365772247314,0.5349070429801941
53,53,53,34.857398986816406,0.9881762862205505,0.02593967318534851
54,54,54,22.294414520263672,0.8705219030380249,0.22616855800151825
55,55,55,26.269393920898438,0.9645656943321228,0.06169196963310242
56,56,56,31.997297286987305,0.9802387952804565,0.03735063970088959
57,57,57,31.728443145751953,0.9738885164260864,0.02697513811290264
58,58,58,26.567386627197266,0.9124602675437927,0.1620108187198639
59,59,59,24.189233779907227,0.8840879201889038,0.19860419631004333
60,60,60,23.396072387695312,0.9231337308883667,0.1516452133655548
61,61,61,29.43638801574707,0.9685487747192383,0.04743250831961632
62,62,62,31.14426040649414,0.9877132177352905,0.018805738538503647
63,63,63,31.150634765625,0.9619830846786499,0.07560008764266968
