candidate,candidate_label,baseline,baseline_label,target_rr,candidate_actual_rr,baseline_actual_rr,candidate_psnr_mean,baseline_psnr_mean,delta_psnr_db_mean,delta_psnr_db_ci_low,delta_psnr_db_ci_high,candidate_ssim_mean,baseline_ssim_mean,delta_ssim_mean,delta_ssim_ci_low,delta_ssim_ci_high,candidate_lpips_mean,baseline_lpips_mean,delta_lpips_mean,delta_lpips_ci_low,delta_lpips_ci_high,num_common,candidate_run,baseline_run,candidate_method,baseline_method
candidate_b,B_soft_early_dino_lpips,pma_nogate_oracle,PMA-no-gate,0.3,0.3020307239057239,0.2978745791245791,36.09319363037745,35.86678269505501,0.22641093532244363,0.07060105030735334,0.3523852561910947,0.9751747588937482,0.973633055575192,0.0015417033185561497,0.000670922384597361,0.0022087234460438287,0.039950405344522245,0.042040629819287766,-0.0020902244747655154,-0.0033792762592080787,-0.00032479398626795547,192,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_candidate_b_rr030_rr040_rr050_fp32,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_test_rr030_rr040_rr050_fp32,pma_stageaware_oracle_rr0p30,pma_nogate_oracle_rr0p30
candidate_b,B_soft_early_dino_lpips,pma_stageaware_original,original-stage-aware,0.3,0.3020307239057239,0.305239898989899,36.09319363037745,36.261468052864075,-0.16827442248662314,-0.32252305025855704,-0.006982440998156884,0.9751747588937482,0.9774298844859004,-0.0022551255921522775,-0.0032710005606835088,-0.0010369533672928814,0.039950405344522245,0.03691447054491922,0.0030359347996030315,0.000789286263473817,0.004728017055822418,192,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_candidate_b_rr030_rr040_rr050_fp32,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_test_rr030_rr040_rr050_fp32,pma_stageaware_oracle_rr0p30,pma_stageaware_oracle_rr0p30
candidate_b,B_soft_early_dino_lpips,sea_oracle,SEA-oracle,0.4,0.4006734006734007,0.4015151515151515,41.48119303584099,41.36959418654442,0.11159884929656982,-0.3092808035512765,0.531803448746601,0.9925723023091754,0.9921233126272758,0.0004489896818995476,-0.000833620751897494,0.002567560970783233,0.014158419265489405,0.015189057558018249,-0.0010306382925288442,-0.005001100918555797,0.0013807835945650966,192,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_candidate_b_rr030_rr040_rr050_fp32,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_test_rr030_rr040_rr050_fp32,pma_stageaware_oracle_rr0p40,sea_oracle_rr0p40
candidate_b,B_soft_early_dino_lpips,pma_nogate_oracle,PMA-no-gate,0.4,0.4006734006734007,0.398621632996633,41.48119303584099,41.71473772327105,-0.23354468743006387,-0.4758847840130329,-0.046042725443840075,0.9925723023091754,0.992871803852419,-0.0002995015432437261,-0.0007913810356209675,3.156141998867157e-05,0.014158419265489405,0.013460803777585776,0.0006976154879036282,-7.913060941670362e-05,0.0017615738091535597,192,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_candidate_b_rr030_rr040_rr050_fp32,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_test_rr030_rr040_rr050_fp32,pma_stageaware_oracle_rr0p40,pma_nogate_oracle_rr0p40
candidate_b,B_soft_early_dino_lpips,pma_stageaware_original,original-stage-aware,0.4,0.4006734006734007,0.40446127946127947,41.48119303584099,41.2042735517025,0.27691948413848877,0.028470113128423694,0.5604911702374616,0.9925723023091754,0.9915411792074641,0.0010311231017112732,-2.0350826283295945e-05,0.0029661177579934387,0.014158419265489405,0.015988833704492816,-0.00183041443900341,-0.005518446515619265,0.00017046024434724366,192,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_candidate_b_rr030_rr040_rr050_fp32,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_test_rr030_rr040_rr050_fp32,pma_stageaware_oracle_rr0p40,pma_stageaware_oracle_rr0p40
candidate_b,B_soft_early_dino_lpips,sea_oracle,SEA-oracle,0.5,0.50184132996633,0.5059974747474747,47.313432455062866,45.682595332463585,1.630837122599284,0.9682593281070392,2.3752709647019703,0.997568461112678,0.9959347393984596,0.0016337217142184575,0.00029893933484951657,0.004034652002155778,0.005729008786981164,0.008965465986648269,-0.003236457199667105,-0.007957396725155755,-0.0006545596465722789,192,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_candidate_b_rr030_rr040_rr050_fp32,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_test_rr030_rr040_rr050_fp32,pma_stageaware_oracle_rr0p50,sea_oracle_rr0p50
candidate_b,B_soft_early_dino_lpips,pma_nogate_oracle,PMA-no-gate,0.5,0.50184132996633,0.5025778619528619,47.313432455062866,48.197787364323936,-0.8843549092610677,-1.2313202440738678,-0.5642892291148505,0.997568461112678,0.9980984802047411,-0.000530019092063109,-0.0009236315886179606,-0.0002254602344085775,0.005729008786981164,0.004291535526287286,0.0014374732606938778,0.00051692822056566,0.002819907442057001,192,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_candidate_b_rr030_rr040_rr050_fp32,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_test_rr030_rr040_rr050_fp32,pma_stageaware_oracle_rr0p50,pma_nogate_oracle_rr0p50
candidate_b,B_soft_early_dino_lpips,pma_stageaware_original,original-stage-aware,0.5,0.50184132996633,0.5047348484848485,47.313432455062866,46.02016818523407,1.2932642698287964,0.7367877185344696,1.9015470539530108,0.997568461112678,0.9958830305064718,0.001685430606206258,0.000381516944617033,0.004068754846230147,0.005729008786981164,0.008964855654994608,-0.0032358468680134442,-0.007920661975420747,-0.0005804610147947647,192,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_candidate_b_rr030_rr040_rr050_fp32,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_test_rr030_rr040_rr050_fp32,pma_stageaware_oracle_rr0p50,pma_stageaware_oracle_rr0p50
candidate_c,C_sea_heavy_low_rr,sea_oracle,SEA-oracle,0.3,0.3033459595959596,0.3010311447811448,36.3268176416556,36.686304688453674,-0.35948704679807025,-0.6595252449313799,-0.07985975419481642,0.9768268018960953,0.9799900194630027,-0.003163217566907406,-0.00462389518506825,-0.00176290685000519,0.037590622460508406,0.033788413945634,0.003802208514874413,0.0016400259819117006,0.0060345236696169495,192,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_candidate_c_rr030_rr040_rr050_fp32,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_test_rr030_rr040_rr050_fp32,pma_stageaware_oracle_rr0p30,sea_oracle_rr0p30
candidate_c,C_sea_heavy_low_rr,pma_nogate_oracle,PMA-no-gate,0.3,0.3033459595959596,0.2978745791245791,36.3268176416556,35.86678269505501,0.46003494660059613,0.27751701027154924,0.6176605520149071,0.9768268018960953,0.973633055575192,0.0031937463209033012,0.0018693172295267384,0.004160861958128711,0.037590622460508406,0.042040629819287766,-0.004450007358779355,-0.006368135554900315,-0.0014950013581862308,192,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_candidate_c_rr030_rr040_rr050_fp32,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_test_rr030_rr040_rr050_fp32,pma_stageaware_oracle_rr0p30,pma_nogate_oracle_rr0p30
candidate_c,C_sea_heavy_low_rr,pma_stageaware_original,original-stage-aware,0.3,0.3033459595959596,0.305239898989899,36.3268176416556,36.261468052864075,0.06534958879152934,-0.0612783374885718,0.1898418898383776,0.9768268018960953,0.9774298844859004,-0.0006030825898051262,-0.0012147387179235619,6.975736469030317e-05,0.037590622460508406,0.03691447054491922,0.0006761519155891923,-0.0003691559012319582,0.0016722000991649104,192,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_candidate_c_rr030_rr040_rr050_fp32,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_test_rr030_rr040_rr050_fp32,pma_stageaware_oracle_rr0p30,pma_stageaware_oracle_rr0p30
candidate_c,C_sea_heavy_low_rr,sea_oracle,SEA-oracle,0.4,0.4029882154882155,0.4015151515151515,41.49449141820272,41.36959418654442,0.12489723165829976,-0.22198893676201503,0.4666547690828636,0.9925896391893426,0.9921233126272758,0.0004663265620668729,-0.0006068047446509202,0.0022775969545667353,0.014098816085000484,0.015189057558018249,-0.001090241473017765,-0.004541290241877504,0.0009034149163047305,192,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_candidate_c_rr030_rr040_rr050_fp32,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_test_rr030_rr040_rr050_fp32,pma_stageaware_oracle_rr0p40,sea_oracle_rr0p40
candidate_c,C_sea_heavy_low_rr,pma_nogate_oracle,PMA-no-gate,0.4,0.4029882154882155,0.398621632996633,41.49449141820272,41.71473772327105,-0.22024630506833395,-0.5503834587832293,0.05255718380212774,0.9925896391893426,0.992871803852419,-0.00028216466307640076,-0.001068680159126719,0.00029236191573242325,0.014098816085000484,0.013460803777585776,0.0006380123074147074,-0.0005201970811261466,0.00221858647140228,192,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_candidate_c_rr030_rr040_rr050_fp32,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_test_rr030_rr040_rr050_fp32,pma_stageaware_oracle_rr0p40,pma_nogate_oracle_rr0p40
candidate_c,C_sea_heavy_low_rr,pma_stageaware_original,original-stage-aware,0.4,0.4029882154882155,0.40446127946127947,41.49449141820272,41.2042735517025,0.2902178665002187,0.10935360367099443,0.5113926880061626,0.9925896391893426,0.9915411792074641,0.0010484599818785985,0.00022014065179973839,0.0026800562317172427,0.014098816085000484,0.015988833704492816,-0.0018900176194923308,-0.005018632146402523,-0.00029343475295415093,192,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_candidate_c_rr030_rr040_rr050_fp32,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_test_rr030_rr040_rr050_fp32,pma_stageaware_oracle_rr0p40,pma_stageaware_oracle_rr0p40
candidate_c,C_sea_heavy_low_rr,sea_oracle,SEA-oracle,0.5,0.5050505050505051,0.5059974747474747,46.807116548220314,45.682595332463585,1.1245212157567341,0.6279853547612826,1.6528379313647745,0.9970871582627296,0.9959347393984596,0.0011524188642700512,0.00020787521886328857,0.002980443051395307,0.006730091905637892,0.008965465986648269,-0.0022353740810103773,-0.005680590506140485,-0.00041694333664281656,192,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_candidate_c_rr030_rr040_rr050_fp32,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_test_rr030_rr040_rr050_fp32,pma_stageaware_oracle_rr0p50,sea_oracle_rr0p50
candidate_c,C_sea_heavy_low_rr,pma_nogate_oracle,PMA-no-gate,0.5,0.5050505050505051,0.5025778619528619,46.807116548220314,48.197787364323936,-1.3906708161036174,-1.9463309220969678,-0.9048040827115383,0.9970871582627296,0.9980984802047411,-0.0010113219420115154,-0.0018680028074110548,-0.00039525416990121223,0.006730091905637892,0.004291535526287286,0.0024385563793506058,0.000973302969746707,0.004455518461620987,192,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_candidate_c_rr030_rr040_rr050_fp32,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_test_rr030_rr040_rr050_fp32,pma_stageaware_oracle_rr0p50,pma_nogate_oracle_rr0p50
candidate_c,C_sea_heavy_low_rr,pma_stageaware_original,original-stage-aware,0.5,0.5050505050505051,0.5047348484848485,46.807116548220314,46.02016818523407,0.7869483629862467,0.43111053258180615,1.1671621849139526,0.9970871582627296,0.9958830305064718,0.0012041277562578518,0.0002854276215657592,0.003046028168561549,0.006730091905637892,0.008964855654994608,-0.0022347637493567163,-0.005813576227546946,-0.00034779284050425027,192,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_candidate_c_rr030_rr040_rr050_fp32,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e4_oracle_schedule_cache/e4_test_rr030_rr040_rr050_fp32,pma_stageaware_oracle_rr0p50,pma_stageaware_oracle_rr0p50
