sample_id,sample_index,class_id,seed,window_id,stage,start_call,end_call,window_len,start_step,end_step,start_t,end_t,start_call_kind,end_call_kind,num_predictor,num_corrector,pis_lpips,pis_dino,pis_psnr,pis_ssim,pis_total_z,pis_total_rank
0,0,0,0,0,sanity,1,1,1,0,0,0.0101010100916028,0.0101010100916028,corrector,corrector,0,1,0.2149776518344879,0.1495198607444763,28.50106430053711,0.9172950983047484,8.521992122553682,1.9607142857142859
0,0,0,0,1,sanity,2,2,1,1,1,0.0101010100916028,0.0101010100916028,predictor,predictor,1,0,0.0576141327619552,0.1533010005950927,37.596946716308594,0.9811222553253174,4.7537372054500375,1.9017857142857144
0,0,0,0,2,sanity,3,3,1,1,1,0.0204081628471612,0.0204081628471612,corrector,corrector,0,1,0.0898672267794609,0.2246754169464111,33.930606842041016,0.9686403274536132,7.38895025935019,1.9571428571428573
0,0,0,0,3,sanity,5,5,1,2,2,0.0309278350323438,0.0309278350323438,corrector,corrector,0,1,0.0376292057335376,0.0519991517066955,37.66944885253906,0.9859890937805176,1.6471941033501245,1.8482142857142856
0,0,0,0,4,sanity,7,7,1,3,3,0.0416666641831398,0.0416666641831398,corrector,corrector,0,1,0.007749596145004,0.0168302059173584,42.61539840698242,0.9965285658836364,0.00510329917832289,1.7089285714285714
0,0,0,0,5,sanity,8,8,1,4,4,0.0416666641831398,0.0416666641831398,predictor,predictor,1,0,0.0007874346338212,0.0014727115631103,53.74176788330078,0.999706208705902,-0.5624588418822544,1.1910714285714286
0,0,0,0,6,sanity,16,16,1,8,8,0.0869565159082412,0.0869565159082412,predictor,predictor,1,0,0.0003179234627168,0.0004165172576904,61.29297637939453,0.9999008178710938,-0.6012637283335278,0.9196428571428572
0,0,0,0,7,sanity,32,32,1,16,16,0.1904761791229248,0.1904761791229248,predictor,predictor,1,0,4.068293492309749e-06,6.318092346191406e-06,79.4095230102539,0.9999984502792358,-0.6195652884847914,0.18839285714285714
0,0,0,0,8,sanity,64,64,1,32,32,0.4705882966518402,0.4705882966518402,predictor,predictor,1,0,3.5975514123265384e-08,-1.1920928955078125e-07,98.45295715332033,1.0,-0.6198305578326033,0.013392857142857142
0,0,0,0,9,sanity,90,90,1,45,45,0.8181819319725037,0.8181819319725037,predictor,predictor,1,0,1.0790477062982973e-06,4.76837158203125e-07,87.69581604003906,0.999999701976776,-0.6197895433890683,0.06785714285714287
0,0,0,0,10,sanity,98,98,1,49,49,0.960784375667572,0.960784375667572,predictor,predictor,1,0,0.0002666628279257,8.630752563476562e-05,58.21456146240234,0.9998125433921814,-0.6110489380349334,0.7267857142857143
0,0,0,0,11,early,1,2,2,0,1,0.0101010100916028,0.0101010100916028,corrector,predictor,1,1,0.2538871169090271,0.1955989003181457,25.370506286621094,0.864425539970398,10.66761074347717,1.9732142857142856
0,0,0,0,12,early,3,4,2,1,2,0.0204081628471612,0.0204081628471612,corrector,predictor,1,1,0.1742153912782669,0.2071661949157714,29.314105987548828,0.933551788330078,9.009013196506238,1.9696428571428573
0,0,0,0,13,early,5,6,2,2,3,0.0309278350323438,0.0309278350323438,corrector,predictor,1,1,0.0714077800512313,0.1039971709251403,32.91130447387695,0.96762216091156,3.8195905028124546,1.8982142857142856
0,0,0,0,14,early,7,8,2,3,4,0.0416666641831398,0.0416666641831398,corrector,predictor,1,1,0.0462224334478378,0.0827701091766357,35.482269287109375,0.9792001247406006,2.652796726354598,1.8678571428571429
0,0,0,0,15,early,1,4,4,0,2,0.0101010100916028,0.0204081628471612,corrector,predictor,2,2,0.345205157995224,0.266133189201355,22.02155113220215,0.7908260822296143,14.732155446957078,1.9964285714285714
0,0,0,0,16,early,3,6,4,1,3,0.0204081628471612,0.0309278350323438,corrector,predictor,2,2,0.2537075281143188,0.1757243275642395,24.261159896850582,0.8528989553451538,10.15004364263985,1.9660714285714285
0,0,0,0,17,transition,8,9,2,4,4,0.0416666641831398,0.0526315756142139,predictor,corrector,1,1,0.0032476570922881,0.007856547832489,45.339385986328125,0.9984013438224792,-0.33719095616558126,1.5589285714285714
0,0,0,0,18,transition,8,11,4,4,5,0.0416666641831398,0.0638297870755195,predictor,corrector,2,2,0.0230128355324268,0.0355075001716613,37.52920913696289,0.9905378222465516,0.8623106854695846,1.8125
0,0,0,0,19,transition,10,11,2,5,5,0.0526315756142139,0.0638297870755195,predictor,corrector,1,1,0.0085178762674331,0.0113729238510131,46.34313583374024,0.9975641965866088,-0.11692799622454889,1.7053571428571428
0,0,0,0,20,transition,10,13,4,5,6,0.0526315756142139,0.0752688199281692,predictor,corrector,2,2,0.0874988958239555,0.2325580716133117,35.519222259521484,0.9739591479301452,7.534296143206954,1.9553571428571428
0,0,0,0,21,transition,12,13,2,6,6,0.0638297870755195,0.0752688199281692,predictor,corrector,1,1,0.016807509586215,0.0352044701576232,43.87326049804688,0.9954983592033386,0.7020429379496327,1.7892857142857144
0,0,0,0,22,transition,12,15,4,6,7,0.0638297870755195,0.0869565159082412,predictor,corrector,2,2,0.0958520621061325,0.2327310442924499,35.08152389526367,0.9709159731864928,7.743970932831068,1.9642857142857144
0,0,0,0,23,transition,14,15,2,7,7,0.0752688199281692,0.0869565159082412,predictor,corrector,1,1,0.0103998212143778,0.0189498662948608,45.82858657836914,0.9972652196884156,0.12493921765948005,1.7357142857142858
0,0,0,0,24,transition,14,17,4,7,8,0.0752688199281692,0.0989011004567146,predictor,corrector,2,2,0.0679763704538345,0.1779514551162719,36.73564147949219,0.9804061651229858,5.6447688838682115,1.9142857142857141
0,0,0,0,25,mid,16,17,2,8,8,0.0869565159082412,0.0989011004567146,predictor,corrector,1,1,0.0019887476228177,0.0023995637893676,52.03316116333008,0.9994497299194336,-0.5090156626955693,1.3803571428571428
0,0,0,0,26,mid,16,19,4,8,9,0.0869565159082412,0.1111111044883728,predictor,corrector,2,2,0.0741801783442497,0.1418437957763672,37.183143615722656,0.9758861064910888,4.864886787772267,1.9214285714285713
