name,kind,target_rr,delta,num_samples,elapsed_sec,cache_queries,cache_hits,cache_refreshes,cache_forced_refreshes,actual_rr,cache_hit_rate,denoiser_time_sec,max_consecutive_hits,psnr_mean,psnr_min,ssim_mean,ssim_min,lpips_mean,lpips_max,per_sample_csv
full_reference,full,1.0,,64,364.95621715602465,6336,0,6336,6336,1.0,0.0,344.8786641958868,0,,,,,,,
uniform_rr0p3,uniform,0.3,,64,151.82471715897555,6336,4416,1920,1920,0.30303030303030304,0.696969696969697,126.51184345327783,3,24.94379550218582,17.86086654663086,0.8890805142000318,0.6415596008300781,0.18110365787288174,0.5770443081855774,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e1_online_cache/e1_pilot_64_fp32/uniform_rr0p3/per_sample_metrics.csv
uniform_rr0p5,uniform,0.5,,64,259.17774231004296,6336,3136,3200,3200,0.5050505050505051,0.494949494949495,227.84620903641917,1,27.577701419591904,19.14980697631836,0.9181419676169753,0.6335365772247314,0.13641823866055347,0.5540981888771057,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e1_online_cache/e1_pilot_64_fp32/uniform_rr0p5/per_sample_metrics.csv
raw_online_rr0p3_delta0p08,raw_online,0.3,0.08,64,169.96247755299555,6336,4607,1729,384,0.272885101010101,0.727114898989899,120.05922537308652,4,29.370282292366028,23.243404388427734,0.9359668465331197,0.6658932566642761,0.11023998659220524,0.563050389289856,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e1_online_cache/e1_pilot_64_fp32/raw_online_rr0p3_delta0p08/per_sample_metrics.csv
raw_online_rr0p5_delta0p03,raw_online,0.5,0.03,64,284.5682642040192,6336,2944,3392,384,0.5353535353535354,0.46464646464646464,234.43621585622896,1,47.8102810382843,29.170902252197266,0.9949961369857192,0.9250342845916748,0.011152301244010232,0.1631801724433899,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e1_online_cache/e1_pilot_64_fp32/raw_online_rr0p5_delta0p03/per_sample_metrics.csv
sea_online_rr0p3_delta0p15,sea_online,0.3,0.15,64,167.2185330070206,6336,4478,1858,384,0.2932449494949495,0.7067550505050505,121.43395566003164,4,35.18697011470795,28.003503799438477,0.9729912849143147,0.9252249002456665,0.046053913109062705,0.17512983083724976,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e1_online_cache/e1_pilot_64_fp32/sea_online_rr0p3_delta0p15/per_sample_metrics.csv
sea_online_rr0p5_delta0p05,sea_online,0.5,0.05,64,251.65508716198383,6336,3394,2942,384,0.46433080808080807,0.5356691919191919,202.21414339437615,3,44.235795855522156,29.313701629638672,0.9940996440127492,0.9274517893791199,0.012883387392776058,0.15925566852092743,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e1_online_cache/e1_pilot_64_fp32/sea_online_rr0p5_delta0p05/per_sample_metrics.csv
