index,class_id,seed,psnr_db,ssim,lpips
64,64,64,37.9481086730957,0.9962155222892761,0.009827880188822746
65,65,65,41.53302001953125,0.9961514472961426,0.006314340513199568
66,66,66,39.21901321411133,0.991496741771698,0.011990993283689022
67,67,67,37.7227897644043,0.9925044775009155,0.01267220824956894
68,68,68,38.89124298095703,0.9936630129814148,0.010799810290336609
69,69,69,37.03293991088867,0.995017409324646,0.008265754207968712
70,70,70,39.05854034423828,0.9918514490127563,0.013135570101439953
71,71,71,52.15036392211914,0.9995405673980713,0.0016902770148590207
72,72,72,42.88763427734375,0.9968806505203247,0.0073782410472631454
73,73,73,42.491111755371094,0.9956135153770447,0.006304217502474785
74,74,74,44.31946563720703,0.9971189498901367,0.011653076857328415
75,75,75,42.78562927246094,0.9966559410095215,0.009369652718305588
76,76,76,40.12007141113281,0.9908438920974731,0.014556561596691608
77,77,77,41.06847381591797,0.9949018955230713,0.013679521158337593
78,78,78,42.711204528808594,0.9950217008590698,0.009164406917989254
79,79,79,44.141353607177734,0.9963060617446899,0.005404382478445768
80,80,80,38.65801239013672,0.9960919618606567,0.007994645275175571
81,81,81,40.51055145263672,0.9950860738754272,0.0089065320789814
82,82,82,38.0843620300293,0.9915564060211182,0.02004653587937355
83,83,83,43.615272521972656,0.9983253479003906,0.004289661068469286
84,84,84,39.359519958496094,0.9904744625091553,0.00882866233587265
85,85,85,37.287967681884766,0.9911910891532898,0.027889009565114975
86,86,86,40.3275260925293,0.9948365092277527,0.008672617375850677
87,87,87,43.35804748535156,0.9965506792068481,0.005722258239984512
88,88,88,43.991676330566406,0.9978052973747253,0.005024246871471405
89,89,89,41.76670455932617,0.9908282160758972,0.01465473510324955
90,90,90,41.08064651489258,0.9937477111816406,0.00703953905031085
91,91,91,42.10352325439453,0.9952966570854187,0.011534091085195541
92,92,92,48.61748123168945,0.9978975653648376,0.00934094563126564
93,93,93,42.77830505371094,0.9961636066436768,0.008899507112801075
94,94,94,45.21243667602539,0.9988200664520264,0.0025381590239703655
95,95,95,43.400299072265625,0.9973970651626587,0.006680202670395374
96,96,96,48.617584228515625,0.9988346099853516,0.0038887164555490017
97,97,97,35.286537170410156,0.9909439086914062,0.011343882419168949
98,98,98,49.36489486694336,0.9974204897880554,0.007569445297122002
99,99,99,38.283260345458984,0.995695948600769,0.008887200616300106
100,100,100,39.280887603759766,0.9911643266677856,0.011383689008653164
101,101,101,44.351409912109375,0.9910070300102234,0.019245421513915062
102,102,102,39.150230407714844,0.9934031963348389,0.010653367266058922
103,103,103,47.955360412597656,0.9979080557823181,0.006376796402037144
104,104,104,39.72153854370117,0.9904133081436157,0.01575649529695511
105,105,105,40.41667556762695,0.9913920164108276,0.012107951566576958
106,106,106,38.662513732910156,0.9923683404922485,0.009879425168037415
107,107,107,42.71137619018555,0.9919643402099609,0.010393092408776283
108,108,108,41.0603141784668,0.9928077459335327,0.01511339284479618
109,109,109,38.890899658203125,0.9901112914085388,0.017857713624835014
