sample_index,call_000,call_001,call_002,call_003,call_004,call_005,call_006,call_007,call_008,call_009,call_010,call_011,call_012,call_013,call_014,call_015,call_016,call_017,call_018,call_019,call_020,call_021,call_022,call_023,call_024,call_025,call_026,call_027,call_028,call_029,call_030,call_031,call_032,call_033,call_034,call_035,call_036,call_037,call_038,call_039,call_040,call_041,call_042,call_043,call_044,call_045,call_046,call_047,call_048,call_049,call_050,call_051,call_052,call_053,call_054,call_055,call_056,call_057,call_058,call_059,call_060,call_061,call_062,call_063,call_064,call_065,call_066,call_067,call_068,call_069,call_070,call_071,call_072,call_073,call_074,call_075,call_076,call_077,call_078,call_079,call_080,call_081,call_082,call_083,call_084,call_085,call_086,call_087,call_088,call_089,call_090,call_091,call_092,call_093,call_094,call_095,call_096,call_097,call_098
0,,,0.05761413276195526,,0.020170513540506363,,0.004239200614392757,,0.000787434633821249,,4.858645115746185e-05,,0.0005254428833723068,,0.0009005342144519091,,0.00031792346271686256,,3.1574094464303926e-05,,5.360889190342277e-06,,3.6459684906731127e-06,,3.3519477256049868e-06,,3.824588020506781e-06,,5.02803686686093e-06,,5.304164460540051e-06,,4.068293492309749e-06,,2.77836988971103e-06,,1.6161163785000099e-06,,9.025615099744755e-07,,6.221605417522369e-07,,5.246239425105159e-07,,5.373798330765567e-07,,1.5636246644135099e-06,,4.854809958487749e-07,,1.695186568895224e-07,,7.169546734075993e-08,,4.986058854683506e-08,,4.320882140973481e-08,,3.993481811903621e-08,,3.793957503717138e-08,,3.5700146838735236e-08,,3.5975514123265384e-08,,4.016299470777085e-08,,4.399601394311503e-08,,4.591708702150754e-08,,4.954612720098339e-08,,5.726753471435586e-08,,7.229381537854351e-08,,9.605325601569348e-08,,1.245192891019542e-07,,1.6167822991519643e-07,,2.3529889858764363e-07,,3.67167359627274e-07,,6.05038280809822e-07,,1.0790477062982973e-06,,2.211168066423852e-06,,5.0755415941239335e-06,,1.3704042430617847e-05,,0.0002666628279257566
1,,,2.027809932769742e-05,,3.870621003443375e-05,,3.8153008063090965e-05,,2.198448964918498e-05,,1.2952226825291291e-05,,4.906552021566313e-06,,1.4506682646242552e-06,,1.1413685570005327e-06,,1.5670843822590541e-06,,1.5962659745127894e-06,,1.160370061370486e-06,,7.040226250865089e-07,,3.66928645689768e-07,,1.5926855212455848e-07,,8.616935787131297e-08,,5.916634648883701e-08,,4.688264709784562e-08,,4.0571705994807417e-08,,3.7152396714645874e-08,,3.546918136976274e-08,,3.481400767668674e-08,,3.4222047418097645e-08,,1.1920965903300385e-07,,9.927781263741053e-08,,4.5114511237898114e-08,,4.473197279253327e-08,,4.5251937308421475e-08,,4.58957103433022e-08,,4.6717037349708335e-08,,4.7889386678434676e-08,,4.972266154368299e-08,,5.21689784704904e-08,,5.43922595852564e-08,,5.5476888860539475e-08,,5.5885323035909096e-08,,5.761943810966841e-08,,6.26600211717232e-08,,7.373441945901504e-08,,9.485400198627758e-08,,1.3221395533946634e-07,,1.9430372333317791e-07,,2.905694884702825e-07,,4.4296467649473925e-07,,7.178507530625211e-07,,1.2064934935551719e-06,,2.0351685634523164e-06,,3.997875410277629e-06,,1.0613489394017961e-05,,0.00019260431872680783
2,,,0.0002191650273744017,,0.0007222102722153068,,0.0011491518234834075,,0.00035943149123340845,,1.4640965673606843e-05,,1.0828099448190187e-06,,2.6749796688818606e-06,,1.4457065844908357e-05,,2.5215627829311416e-05,,4.230732884025201e-06,,1.235885065398179e-07,,1.8230510079320084e-07,,2.5847808160506247e-07,,2.3467511311991984e-07,,1.8324149664294964e-07,,1.268057303605019e-07,,7.207727037439327e-08,,2.8968196730261297e-08,,1.826735918086797e-08,,5.452277207496081e-08,,9.142888757196488e-08,,9.491134278505342e-08,,1.0364616542801741e-07,,1.7194349766214145e-07,,2.107224759129167e-07,,1.4368210088377964e-07,,8.29287998271866e-08,,6.427259080510339e-08,,5.7047721213621116e-08,,4.8945342001616154e-08,,3.7782172057632124e-08,,2.8208676283725254e-08,,2.4007082544130753e-08,,2.5206830400748004e-08,,3.079424004681641e-08,,4.03119528868956e-08,,5.4399674098704054e-08,,7.462794116008808e-08,,1.0388936289018602e-07,,1.4547788396157557e-07,,2.0143957613072416e-07,,2.757846573331335e-07,,3.9677539120930305e-07,,6.35790627256938e-07,,1.119441662922327e-06,,2.1097557691973634e-06,,4.392529717733851e-06,,1.056837118085241e-05,,0.0002111401699949056
3,,,0.0001701561559457332,,2.484106516931206e-05,,9.40644895308651e-06,,2.4668267997185467e-06,,9.520815638097702e-07,,1.5417469967360375e-06,,3.1652766665501986e-06,,4.125593477510847e-06,,1.9995979982923018e-06,,8.114912475321034e-07,,3.133014274681045e-07,,9.022474500852695e-08,,2.4078691041040656e-08,,1.137319216582e-08,,2.5726484054189314e-08,,2.424007448098564e-07,,1.3231368711785763e-06,,1.4550751075148582e-06,,3.60682264499701e-07,,9.730203487379185e-08,,8.390177441697233e-08,,7.147092162540503e-08,,2.312656555147896e-08,,2.422131828438978e-08,,4.84635620523477e-08,,6.522444095935498e-08,,7.386009315268893e-08,,5.252950074918772e-08,,1.7184586198482066e-08,,3.6674061565378224e-09,,3.8080689712671756e-09,,6.270083119375158e-09,,9.154201840999576e-09,,1.2394203885435218e-08,,1.7326406975826103e-08,,2.5401330816521295e-08,,3.2697769825063006e-08,,3.2541919381401385e-08,,3.287932059947707e-08,,4.213467619251787e-08,,6.484832226760773e-08,,1.1386484288777865e-07,,2.3148486150148528e-07,,5.367092512642557e-07,,1.4157803889247589e-06,,3.3046128464775393e-06,,4.41276188212214e-06,,4.6328510507009923e-05,,0.0010302907321602106
