sample_index,class_id,seed,call_index,t,step,call_kind,selected_for_test,intervention_valid,invalid_reason,pis_lpips,pis_dino,pis_psnr,pis_ssim,suffix_denoiser_calls,elapsed_sec
0,0,0,0,0.0,0,predictor,True,False,no_previous_cache,,,,,0,
0,0,0,1,0.010101010091602802,0,corrector,False,False,not_selected,,,,,0,
0,0,0,2,0.010101010091602802,1,predictor,True,True,,0.05761413276195526,0.15330100059509277,37.596946716308594,0.9811222553253174,96,3.677926396019757
0,0,0,3,0.020408162847161293,1,corrector,False,False,not_selected,,,,,0,
0,0,0,4,0.020408162847161293,2,predictor,True,True,,0.020170513540506363,0.03658682107925415,42.94102478027344,0.993687629699707,94,3.501441084081307
0,0,0,5,0.030927835032343864,2,corrector,False,False,not_selected,,,,,0,
0,0,0,6,0.030927835032343864,3,predictor,True,True,,0.004239200614392757,0.002516508102416992,48.985023498535156,0.998609721660614,92,3.431844315957278
0,0,0,7,0.0416666641831398,3,corrector,False,False,not_selected,,,,,0,
0,0,0,8,0.0416666641831398,4,predictor,True,True,,0.000787434633821249,0.0014727115631103516,53.74176788330078,0.9997062087059021,90,3.3723038940224797
0,0,0,9,0.052631575614213943,4,corrector,False,False,not_selected,,,,,0,
0,0,0,10,0.052631575614213943,5,predictor,True,True,,4.858645115746185e-05,8.33272933959961e-05,65.49405670166016,0.9999809265136719,88,3.290848864009604
0,0,0,11,0.06382978707551956,5,corrector,False,False,not_selected,,,,,0,
0,0,0,12,0.06382978707551956,6,predictor,True,True,,0.0005254428833723068,0.0006242990493774414,59.26517105102539,0.9998323321342468,86,3.2436643291730434
0,0,0,13,0.07526881992816925,6,corrector,False,False,not_selected,,,,,0,
0,0,0,14,0.07526881992816925,7,predictor,True,True,,0.0009005342144519091,0.001119852066040039,56.94268798828125,0.9997197389602661,84,3.17551331105642
0,0,0,15,0.08695651590824127,7,corrector,False,False,not_selected,,,,,0,
0,0,0,16,0.08695651590824127,8,predictor,True,True,,0.00031792346271686256,0.0004165172576904297,61.29297637939453,0.9999008178710938,82,3.0929597299546003
0,0,0,17,0.09890110045671463,8,corrector,False,False,not_selected,,,,,0,
0,0,0,18,0.09890110045671463,9,predictor,True,True,,3.1574094464303926e-05,4.1484832763671875e-05,70.73522186279297,0.9999906420707703,80,3.0300655940081924
0,0,0,19,0.1111111044883728,9,corrector,False,False,not_selected,,,,,0,
0,0,0,20,0.1111111044883728,10,predictor,True,True,,5.360889190342277e-06,5.900859832763672e-06,76.9251708984375,0.9999983310699463,78,2.9477495830506086
0,0,0,21,0.12359550595283508,10,corrector,False,False,not_selected,,,,,0,
0,0,0,22,0.12359550595283508,11,predictor,True,True,,3.6459684906731127e-06,3.814697265625e-06,78.82598114013672,0.9999984502792358,76,2.876405815826729
0,0,0,23,0.13636364042758942,11,corrector,False,False,not_selected,,,,,0,
0,0,0,24,0.13636364042758942,12,predictor,True,True,,3.3519477256049868e-06,4.172325134277344e-06,79.82008361816406,0.9999985694885254,74,2.8164209090173244
0,0,0,25,0.14942528307437897,12,corrector,False,False,not_selected,,,,,0,
0,0,0,26,0.14942528307437897,13,predictor,True,True,,3.824588020506781e-06,5.4836273193359375e-06,79.62801361083984,0.9999985098838806,72,2.739001217065379
0,0,0,27,0.1627907007932663,13,corrector,False,False,not_selected,,,,,0,
0,0,0,28,0.1627907007932663,14,predictor,True,True,,5.02803686686093e-06,7.331371307373047e-06,78.5412826538086,0.9999980926513672,70,2.6490859519690275
0,0,0,29,0.1764705777168274,14,corrector,False,False,not_selected,,,,,0,
0,0,0,30,0.1764705777168274,15,predictor,True,True,,5.304164460540051e-06,7.987022399902344e-06,78.29781341552734,0.9999979734420776,68,2.5704513599630445
0,0,0,31,0.1904761791229248,15,corrector,False,False,not_selected,,,,,0,
0,0,0,32,0.1904761791229248,16,predictor,True,True,,4.068293492309749e-06,6.318092346191406e-06,79.4095230102539,0.9999984502792358,66,2.503411761019379
0,0,0,33,0.20481927692890167,16,corrector,False,False,not_selected,,,,,0,
0,0,0,34,0.20481927692890167,17,predictor,True,True,,2.77836988971103e-06,4.351139068603516e-06,81.09335327148438,0.9999990463256836,64,2.4272610240150243
0,0,0,35,0.2195121943950653,17,corrector,False,False,not_selected,,,,,0,
0,0,0,36,0.2195121943950653,18,predictor,True,True,,1.6161163785000099e-06,2.562999725341797e-06,83.45742797851562,0.9999994039535522,62,2.370189897948876
0,0,0,37,0.23456789553165436,18,corrector,False,False,not_selected,,,,,0,
0,0,0,38,0.23456789553165436,19,predictor,True,True,,9.025615099744755e-07,1.4901161193847656e-06,85.88998413085938,0.9999996423721313,60,2.2899722401052713
0,0,0,39,0.2499999850988388,19,corrector,False,False,not_selected,,,,,0,
0,0,0,40,0.2499999850988388,20,predictor,True,True,,6.221605417522369e-07,9.5367431640625e-07,87.36697387695312,0.9999995231628418,58,2.206963028991595
0,0,0,41,0.26582276821136475,20,corrector,False,False,not_selected,,,,,0,
0,0,0,42,0.26582276821136475,21,predictor,True,True,,5.246239425105159e-07,7.748603820800781e-07,88.02244567871094,0.9999998807907104,56,2.1296532000415027
0,0,0,43,0.28205129504203796,21,corrector,False,False,not_selected,,,,,0,
0,0,0,44,0.28205129504203796,22,predictor,True,True,,5.373798330765567e-07,8.344650268554688e-07,88.02535247802734,0.9999997615814209,54,2.060294979950413
0,0,0,45,0.29870128631591797,22,corrector,False,False,not_selected,,,,,0,
0,0,0,46,0.29870128631591797,23,predictor,True,True,,1.5636246644135099e-06,1.9073486328125e-06,83.43304443359375,0.9999995231628418,52,1.9774412030819803
0,0,0,47,0.31578946113586426,23,corrector,False,False,not_selected,,,,,0,
0,0,0,48,0.31578946113586426,24,predictor,True,True,,4.854809958487749e-07,6.556510925292969e-07,88.50015258789062,0.9999997615814209,50,1.906321048969403
0,0,0,49,0.3333333432674408,24,corrector,False,False,not_selected,,,,,0,
0,0,0,50,0.3333333432674408,25,predictor,True,True,,1.695186568895224e-07,1.1920928955078125e-07,92.883056640625,1.0,48,1.829697550041601
0,0,0,51,0.35135138034820557,25,corrector,False,False,not_selected,,,,,0,
0,0,0,52,0.35135138034820557,26,predictor,True,True,,7.169546734075993e-08,0.0,96.06231689453125,0.9999999403953552,46,1.7529346880037338
0,0,0,53,0.36986303329467773,26,corrector,False,False,not_selected,,,,,0,
0,0,0,54,0.36986303329467773,27,predictor,True,True,,4.986058854683506e-08,0.0,97.1244888305664,1.0,44,1.679976515006274
0,0,0,55,0.3888888657093048,27,corrector,False,False,not_selected,,,,,0,
0,0,0,56,0.3888888657093048,28,predictor,True,True,,4.320882140973481e-08,0.0,97.45375061035156,0.9999999403953552,42,1.6009744489565492
0,0,0,57,0.40845075249671936,28,corrector,False,False,not_selected,,,,,0,
0,0,0,58,0.40845075249671936,29,predictor,True,True,,3.993481811903621e-08,5.960464477539063e-08,97.58136749267578,1.0,40,1.5281645369250327
0,0,0,59,0.4285714626312256,29,corrector,False,False,not_selected,,,,,0,
0,0,0,60,0.4285714626312256,30,predictor,True,True,,3.793957503717138e-08,5.960464477539063e-08,97.72048950195312,0.9999999403953552,38,1.4531091689132154
0,0,0,61,0.4492753744125366,30,corrector,False,False,not_selected,,,,,0,
0,0,0,62,0.4492753744125366,31,predictor,True,True,,3.5700146838735236e-08,1.1920928955078125e-07,98.09019470214844,1.0,36,1.3850886181462556
0,0,0,63,0.4705882966518402,31,corrector,False,False,not_selected,,,,,0,
0,0,0,64,0.4705882966518402,32,predictor,True,True,,3.5975514123265384e-08,-1.1920928955078125e-07,98.45295715332031,1.0,34,1.3060609309468418
0,0,0,65,0.49253737926483154,32,corrector,False,False,not_selected,,,,,0,
0,0,0,66,0.49253737926483154,33,predictor,True,True,,4.016299470777085e-08,0.0,98.47587585449219,1.0,32,1.2274017508607358
