stage,start_range,safe_len_mean,safe_len_q95,recommended_max_age_for_e6,reason
sanity,1-96,0,0,,"L=1 sanity rows are for E5 reproduction, not an E6 stage policy."
transition,8-9,0,0,0,No tested length passes the conservative mean/q95 LPIPS+DINO safety rule.
mid,16-71,0,0,0,No tested length passes the conservative mean/q95 LPIPS+DINO safety rule.
tail,90-97,0,0,0,No tested length passes the conservative mean/q95 LPIPS+DINO safety rule.
