sample_index,class_id,seed,call_index,t,step,call_kind,selected_for_test,intervention_valid,invalid_reason,pis_lpips,pis_dino,pis_psnr,pis_ssim,suffix_denoiser_calls,elapsed_sec
0,0,0,0,0.0,0,predictor,False,False,not_selected,,,,,0,
0,0,0,1,0.010101010091602802,0,corrector,True,True,,0.21497765183448792,0.14951986074447632,28.50106430053711,0.9172950983047485,98,3.7971691149286926
0,0,0,2,0.010101010091602802,1,predictor,False,False,not_selected,,,,,0,
0,0,0,3,0.020408162847161293,1,corrector,False,False,not_selected,,,,,0,
0,0,0,4,0.020408162847161293,2,predictor,False,False,not_selected,,,,,0,
0,0,0,5,0.030927835032343864,2,corrector,False,False,not_selected,,,,,0,
0,0,0,6,0.030927835032343864,3,predictor,False,False,not_selected,,,,,0,
0,0,0,7,0.0416666641831398,3,corrector,False,False,not_selected,,,,,0,
0,0,0,8,0.0416666641831398,4,predictor,False,False,not_selected,,,,,0,
0,0,0,9,0.052631575614213943,4,corrector,False,False,not_selected,,,,,0,
0,0,0,10,0.052631575614213943,5,predictor,False,False,not_selected,,,,,0,
0,0,0,11,0.06382978707551956,5,corrector,False,False,not_selected,,,,,0,
0,0,0,12,0.06382978707551956,6,predictor,False,False,not_selected,,,,,0,
0,0,0,13,0.07526881992816925,6,corrector,False,False,not_selected,,,,,0,
0,0,0,14,0.07526881992816925,7,predictor,False,False,not_selected,,,,,0,
0,0,0,15,0.08695651590824127,7,corrector,False,False,not_selected,,,,,0,
0,0,0,16,0.08695651590824127,8,predictor,False,False,not_selected,,,,,0,
0,0,0,17,0.09890110045671463,8,corrector,False,False,not_selected,,,,,0,
0,0,0,18,0.09890110045671463,9,predictor,False,False,not_selected,,,,,0,
0,0,0,19,0.1111111044883728,9,corrector,False,False,not_selected,,,,,0,
0,0,0,20,0.1111111044883728,10,predictor,False,False,not_selected,,,,,0,
0,0,0,21,0.12359550595283508,10,corrector,False,False,not_selected,,,,,0,
0,0,0,22,0.12359550595283508,11,predictor,False,False,not_selected,,,,,0,
0,0,0,23,0.13636364042758942,11,corrector,False,False,not_selected,,,,,0,
0,0,0,24,0.13636364042758942,12,predictor,False,False,not_selected,,,,,0,
0,0,0,25,0.14942528307437897,12,corrector,False,False,not_selected,,,,,0,
0,0,0,26,0.14942528307437897,13,predictor,False,False,not_selected,,,,,0,
0,0,0,27,0.1627907007932663,13,corrector,False,False,not_selected,,,,,0,
0,0,0,28,0.1627907007932663,14,predictor,False,False,not_selected,,,,,0,
0,0,0,29,0.1764705777168274,14,corrector,False,False,not_selected,,,,,0,
0,0,0,30,0.1764705777168274,15,predictor,False,False,not_selected,,,,,0,
0,0,0,31,0.1904761791229248,15,corrector,False,False,not_selected,,,,,0,
0,0,0,32,0.1904761791229248,16,predictor,False,False,not_selected,,,,,0,
0,0,0,33,0.20481927692890167,16,corrector,False,False,not_selected,,,,,0,
0,0,0,34,0.20481927692890167,17,predictor,False,False,not_selected,,,,,0,
0,0,0,35,0.2195121943950653,17,corrector,False,False,not_selected,,,,,0,
0,0,0,36,0.2195121943950653,18,predictor,False,False,not_selected,,,,,0,
0,0,0,37,0.23456789553165436,18,corrector,False,False,not_selected,,,,,0,
0,0,0,38,0.23456789553165436,19,predictor,False,False,not_selected,,,,,0,
0,0,0,39,0.2499999850988388,19,corrector,False,False,not_selected,,,,,0,
0,0,0,40,0.2499999850988388,20,predictor,False,False,not_selected,,,,,0,
0,0,0,41,0.26582276821136475,20,corrector,False,False,not_selected,,,,,0,
0,0,0,42,0.26582276821136475,21,predictor,False,False,not_selected,,,,,0,
0,0,0,43,0.28205129504203796,21,corrector,False,False,not_selected,,,,,0,
0,0,0,44,0.28205129504203796,22,predictor,False,False,not_selected,,,,,0,
0,0,0,45,0.29870128631591797,22,corrector,False,False,not_selected,,,,,0,
0,0,0,46,0.29870128631591797,23,predictor,False,False,not_selected,,,,,0,
0,0,0,47,0.31578946113586426,23,corrector,False,False,not_selected,,,,,0,
0,0,0,48,0.31578946113586426,24,predictor,False,False,not_selected,,,,,0,
0,0,0,49,0.3333333432674408,24,corrector,False,False,not_selected,,,,,0,
0,0,0,50,0.3333333432674408,25,predictor,False,False,not_selected,,,,,0,
0,0,0,51,0.35135138034820557,25,corrector,False,False,not_selected,,,,,0,
0,0,0,52,0.35135138034820557,26,predictor,False,False,not_selected,,,,,0,
0,0,0,53,0.36986303329467773,26,corrector,False,False,not_selected,,,,,0,
0,0,0,54,0.36986303329467773,27,predictor,False,False,not_selected,,,,,0,
0,0,0,55,0.3888888657093048,27,corrector,False,False,not_selected,,,,,0,
0,0,0,56,0.3888888657093048,28,predictor,False,False,not_selected,,,,,0,
0,0,0,57,0.40845075249671936,28,corrector,False,False,not_selected,,,,,0,
0,0,0,58,0.40845075249671936,29,predictor,False,False,not_selected,,,,,0,
0,0,0,59,0.4285714626312256,29,corrector,False,False,not_selected,,,,,0,
0,0,0,60,0.4285714626312256,30,predictor,False,False,not_selected,,,,,0,
0,0,0,61,0.4492753744125366,30,corrector,False,False,not_selected,,,,,0,
0,0,0,62,0.4492753744125366,31,predictor,False,False,not_selected,,,,,0,
0,0,0,63,0.4705882966518402,31,corrector,False,False,not_selected,,,,,0,
0,0,0,64,0.4705882966518402,32,predictor,False,False,not_selected,,,,,0,
0,0,0,65,0.49253737926483154,32,corrector,False,False,not_selected,,,,,0,
0,0,0,66,0.49253737926483154,33,predictor,False,False,not_selected,,,,,0,
0,0,0,67,0.5151515603065491,33,corrector,False,False,not_selected,,,,,0,
0,0,0,68,0.5151515603065491,34,predictor,False,False,not_selected,,,,,0,
0,0,0,69,0.5384615659713745,34,corrector,False,False,not_selected,,,,,0,
0,0,0,70,0.5384615659713745,35,predictor,False,False,not_selected,,,,,0,
0,0,0,71,0.5625000596046448,35,corrector,False,False,not_selected,,,,,0,
0,0,0,72,0.5625000596046448,36,predictor,False,False,not_selected,,,,,0,
0,0,0,73,0.5873016119003296,36,corrector,False,False,not_selected,,,,,0,
0,0,0,74,0.5873016119003296,37,predictor,False,False,not_selected,,,,,0,
0,0,0,75,0.6129032373428345,37,corrector,False,False,not_selected,,,,,0,
0,0,0,76,0.6129032373428345,38,predictor,False,False,not_selected,,,,,0,
0,0,0,77,0.6393442749977112,38,corrector,False,False,not_selected,,,,,0,
0,0,0,78,0.6393442749977112,39,predictor,False,False,not_selected,,,,,0,
0,0,0,79,0.6666666269302368,39,corrector,False,False,not_selected,,,,,0,
0,0,0,80,0.6666666269302368,40,predictor,False,False,not_selected,,,,,0,
0,0,0,81,0.6949153542518616,40,corrector,False,False,not_selected,,,,,0,
0,0,0,82,0.6949153542518616,41,predictor,False,False,not_selected,,,,,0,
0,0,0,83,0.7241379618644714,41,corrector,False,False,not_selected,,,,,0,
0,0,0,84,0.7241379618644714,42,predictor,False,False,not_selected,,,,,0,
0,0,0,85,0.7543860077857971,42,corrector,False,False,not_selected,,,,,0,
0,0,0,86,0.7543860077857971,43,predictor,False,False,not_selected,,,,,0,
0,0,0,87,0.7857142686843872,43,corrector,False,False,not_selected,,,,,0,
0,0,0,88,0.7857142686843872,44,predictor,False,False,not_selected,,,,,0,
0,0,0,89,0.8181819319725037,44,corrector,False,False,not_selected,,,,,0,
0,0,0,90,0.8181819319725037,45,predictor,False,False,not_selected,,,,,0,
0,0,0,91,0.8518519401550293,45,corrector,False,False,not_selected,,,,,0,
0,0,0,92,0.8518519401550293,46,predictor,False,False,not_selected,,,,,0,
0,0,0,93,0.8867924809455872,46,corrector,False,False,not_selected,,,,,0,
0,0,0,94,0.8867924809455872,47,predictor,False,False,not_selected,,,,,0,
0,0,0,95,0.9230769872665405,47,corrector,False,False,not_selected,,,,,0,
0,0,0,96,0.9230769872665405,48,predictor,False,False,not_selected,,,,,0,
0,0,0,97,0.960784375667572,48,corrector,False,False,not_selected,,,,,0,
0,0,0,98,0.960784375667572,49,predictor,False,False,not_selected,,,,,0,
